team,penalty_type,penalty_category,total_penalties,total_yards,avg_yards_per_penalty,school,conference,school_for_merge,AP Top 25,Coaches Poll,FCS Coaches Poll
Texas Tech,Offside,Procedural,6,119.0,19.83,Texas Tech,Big 12,Texas Tech,6.0,7.0,
Texas Tech,Other / Unclassified,Administrative,4,33.0,8.25,Texas Tech,Big 12,Texas Tech,6.0,7.0,
Texas Tech,Other / Unclassified,Other,4,25.0,6.25,Texas Tech,Big 12,Texas Tech,6.0,7.0,
Texas Tech,Pass Interference,Personal / Contact,10,87.0,8.7,Texas Tech,Big 12,Texas Tech,6.0,7.0,
Texas Tech,Pass Interference,Procedural,1,15.0,15.0,Texas Tech,Big 12,Texas Tech,6.0,7.0,
Texas Tech,Roughing the Passer,Personal / Contact,2,17.0,8.5,Texas Tech,Big 12,Texas Tech,6.0,7.0,
Texas Tech,Unsportsmanlike Conduct,Personal / Contact,2,15.0,7.5,Texas Tech,Big 12,Texas Tech,6.0,7.0,
Toledo,Delay of Game,Procedural,5,25.0,5.0,Toledo,Mid-American,,,,
Toledo,Face Mask,Other,1,15.0,15.0,Toledo,Mid-American,,,,
Toledo,False Start,Procedural,7,35.0,5.0,Toledo,Mid-American,,,,
Toledo,Holding,Blocking / Holding,7,60.0,8.57,Toledo,Mid-American,,,,
Toledo,Illegal Formation,Procedural,1,41.0,41.0,Toledo,Mid-American,,,,
Toledo,Offside,Procedural,2,10.0,5.0,Toledo,Mid-American,,,,
Toledo,Other / Unclassified,Administrative,2,20.0,10.0,Toledo,Mid-American,,,,
Toledo,Other / Unclassified,Blocking / Holding,1,2.0,2.0,Toledo,Mid-American,,,,
Toledo,Other / Unclassified,Other,5,53.0,10.6,Toledo,Mid-American,,,,
Toledo,Other / Unclassified,Procedural,1,0.0,0.0,Toledo,Mid-American,,,,
Toledo,Pass Interference,Personal / Contact,5,68.0,13.6,Toledo,Mid-American,,,,
Toledo,Personal Foul,Personal / Contact,2,35.0,17.5,Toledo,Mid-American,,,,
Troy,Face Mask,Other,2,30.0,15.0,Troy,Sun Belt,,,,
Troy,False Start,Procedural,20,90.0,4.5,Troy,Sun Belt,,,,
Troy,Holding,Blocking / Holding,10,73.0,7.3,Troy,Sun Belt,,,,
Troy,Illegal Formation,Procedural,3,37.0,12.33,Troy,Sun Belt,,,,
Troy,Offside,Procedural,3,29.0,9.67,Troy,Sun Belt,,,,
Troy,Other / Unclassified,Other,5,90.0,18.0,Troy,Sun Belt,,,,
Troy,Other / Unclassified,Procedural,1,0.0,0.0,Troy,Sun Belt,,,,
Troy,Pass Interference,Personal / Contact,5,61.0,12.2,Troy,Sun Belt,,,,
Troy,Personal Foul,Personal / Contact,2,30.0,15.0,Troy,Sun Belt,,,,
Troy,Unsportsmanlike Conduct,Personal / Contact,2,15.0,7.5,Troy,Sun Belt,,,,
Tulane,Delay of Game,Procedural,2,10.0,5.0,Tulane,American Athletic,Tulane,24.0,25.0,
Tulane,Face Mask,Other,3,45.0,15.0,Tulane,American Athletic,Tulane,24.0,25.0,
Tulane,False Start,Procedural,18,79.0,4.39,Tulane,American Athletic,Tulane,24.0,25.0,
Tulane,Holding,Blocking / Holding,15,230.0,15.33,Tulane,American Athletic,Tulane,24.0,25.0,
Tulane,Illegal Formation,Procedural,1,2.0,2.0,Tulane,American Athletic,Tulane,24.0,25.0,
Tulane,Offside,Procedural,4,52.0,13.0,Tulane,American Athletic,Tulane,24.0,25.0,
Tulane,Other / Unclassified,Administrative,1,0.0,0.0,Tulane,American Athletic,Tulane,24.0,25.0,
Tulane,Other / Unclassified,Blocking / Holding,1,0.0,0.0,Tulane,American Athletic,Tulane,24.0,25.0,
Tulane,Other / Unclassified,Other,2,17.0,8.5,Tulane,American Athletic,Tulane,24.0,25.0,
Tulane,Other / Unclassified,Procedural,1,3.0,3.0,Tulane,American Athletic,Tulane,24.0,25.0,
Tulane,Pass Interference,Personal / Contact,10,119.0,11.9,Tulane,American Athletic,Tulane,24.0,25.0,
Tulane,Personal Foul,Personal / Contact,2,2.0,1.0,Tulane,American Athletic,Tulane,24.0,25.0,
Tulane,Roughing the Passer,Personal / Contact,3,30.0,10.0,Tulane,American Athletic,Tulane,24.0,25.0,
Tulane,Targeting,Personal / Contact,1,15.0,15.0,Tulane,American Athletic,Tulane,24.0,25.0,
Tulane,Unsportsmanlike Conduct,Personal / Contact,1,14.0,14.0,Tulane,American Athletic,Tulane,24.0,25.0,
Tulsa,Delay of Game,Procedural,2,10.0,5.0,Tulsa,American Athletic,,,,
Tulsa,Face Mask,Other,2,18.0,9.0,Tulsa,American Athletic,,,,
Tulsa,False Start,Procedural,7,30.0,4.29,Tulsa,American Athletic,,,,
Tulsa,Holding,Blocking / Holding,12,64.0,5.33,Tulsa,American Athletic,,,,
Tulsa,Illegal Formation,Procedural,4,32.0,8.0,Tulsa,American Athletic,,,,
