offense,defense,play_text,penalty_type,penalty_yards
Oklahoma State,UT Martin,"Kalib Hicks run for no gain to the OKST 35 Oklahoma State Penalty, Offensive holding (Josh Ford) to the OKST 25",Holding,
Louisville,Eastern Kentucky,"(11:20) Shotgun Moss,Miller pass complete deep right to Meeks,Antonio caught at EKU39, for 20 yards to the EKU39, End Of Play PENALTY LOU Holding (Moussa,Mahamane) 10 yards from LOU41 to LOU31. NO PLAY.",Holding,20.0
Louisville,Eastern Kentucky,"Nick Keller kickoff for 64 yds , Dequan Stanley return for 30 yds to the EKU 35 Louisville Penalty, Personal Foul (Davon Mitchell) to the EKU 46",Personal Foul,
Eastern Kentucky,Louisville,"PENALTY EKU False Start (Hinton,Fred) 5 yards from EKU31 to EKU26. NO PLAY.",False Start,5.0
Louisville,Eastern Kentucky,"Miller Moss pass incomplete to Chris Bell for a 1ST down Eastern Kentucky Penalty, Defensive Pass Interference (Vito Tisdale) to the EKU 2 for a 1ST down",Pass Interference,
Louisville,Eastern Kentucky,"Nick Keller kickoff for 64 yds , Jalen Montgomery return for 13 yds to the EKU 48 Eastern Kentucky Penalty, Illegal Block (7 Yards) to the EKU 7",Other / Unclassified,7.0
Eastern Kentucky,Louisville,"PENALTY EKU Delay Of Game (Burkett,Myles) 3 yards from EKU07 to EKU04. NO PLAY.",Delay of Game,3.0
Louisville,Eastern Kentucky,"(00:57) No Huddle-Shotgun Moss,Miller pass incomplete short right to Brown,Keyjuan thrown to LOU20, 1ST DOWN, PENALTY EKU Pass Interference (Hence,Rishad) 11 yard from LOU10 to LOU21, 1ST DOWN. NO PLAY.",Pass Interference,11.0
Eastern Kentucky,Louisville,"PENALTY EKU False Start (Coppinger,Liam) 5 yards from LOU46 to EKU49. NO PLAY.",False Start,5.0
Eastern Kentucky,Louisville,"(14:18) PENALTY EKU False Start (Gaines,Antonio) 5 yards from EKU29 to EKU24. NO PLAY.",False Start,5.0
Eastern Kentucky,Louisville,"PENALTY LOU Offside (Quinn,T.J.) 5 yards from EKU24 to EKU29. NO PLAY.",Offside,5.0
Eastern Kentucky,Louisville,"PENALTY EKU False Start (Riffe,Brody) 5 yards from EKU25 to EKU20. NO PLAY.",False Start,5.0
Eastern Kentucky,Louisville,"(07:41) No Huddle-Shotgun Burkett,Myles pass incomplete short left to Vaka,Kyle thrown to EKU37, 1ST DOWN, PENALTY LOU Pass Interference (Gordon,Corey) 4 yards from EKU31 to EKU35, 1ST DOWN. NO PLAY.",Pass Interference,4.0
Eastern Kentucky,Louisville,"Myles Burkett run for 6 yds to the LOU 43 for a 1ST down Louisville Penalty, Defensive Holding (Rae'mon Mosby) to the LOU 47 for a 1ST down",Holding,
Louisville,Eastern Kentucky,"(02:43) No Huddle-Shotgun Boykins Jr.,Shaun rush left for 0 yards to the LOU29 (McGowan,Jacquez; Ingram V,Charles) PENALTY LOU Holding (Secrest,Sam) 10 yards from LOU29 to LOU19. NO PLAY.",Holding,
Eastern Kentucky,Louisville,"(14:57) No Huddle-Shotgun Burkett,Myles pass incomplete short left to West,Jayden thrown to LOU02 PENALTY LOU Pass Interference (Agu,Justin) 4 yards from LOU06 to LOU02, 1ST DOWN. NO PLAY.",Pass Interference,4.0
Louisville,Eastern Kentucky,"Louisville Penalty, Ineligible Downfield on Pass (Yards) declined",Other / Unclassified,
Louisville,Eastern Kentucky,"(05:07) No Huddle-Shotgun Moss,Miller pass complete short left to Brown,Keyjuan caught at EKU38, for 38 yards to the EKU00 TOUCHDOWN nullified by penalty, clock 04:59 PENALTY EKU Holding offsetting LOU Holding offsetting. NO PLAY.",Holding,38.0
Louisville,Eastern Kentucky,"Miller Moss pass complete to Chris Bell for 13 yds to the EKU 23 for a 1ST down Louisville Penalty, UNS: Unsportsmanlike Conduct (Chris Bell) to the EKU 38 for a 1ST down",Unsportsmanlike Conduct,
Air Force,Bucknell,"PENALTY BU Offside (Gerke,Thomas) 5 yards from AF20 to AF25. NO PLAY.",Offside,5.0
Bucknell,Air Force,"(13:40) No Huddle-Shotgun Rucker IV,Ralph pass incomplete deep left to Anderson,Nate thrown to AF00, 1ST DOWN, PENALTY AF Pass Interference (Brown,Levi) 15 yards from AF24 to AF09, 1ST DOWN. NO PLAY.",Pass Interference,15.0
Bucknell,Air Force,"Bucknell Penalty, False Start (Derrick Anderson Jr.) to the AF 14",False Start,
Air Force,Bucknell,"Bucknell Penalty, Defensive Holding (Brandon Biagiarelli) to the BUCK 44 for a 1ST down",Holding,
Davidson,Georgetown,"Casey Bullock run for no gain to the GTWN 35 Davidson Penalty, Offensive holding (Alex Jones) to the GTWN 45",Holding,
Air Force,Bucknell,"Cade Harris run for 10 yds to the AF 49 for a 1ST down Air Force Penalty, Offensive Holding (Tre Roberson) to the AF 39 for a 1ST down",Holding,
Bucknell,Air Force,"Air Force Penalty, Personal Foul (Blake Fletcher) to the AF 11 for a 1ST down",Personal Foul,
Bucknell,Air Force,"(06:02) No Huddle-Shotgun Rucker IV,Ralph pass complete short right to Gary,Josh caught at AF00, for 5 yards to the AF00 TOUCHDOWN nullified by penalty, clock 06:00 PENALTY BU Pass Interference (Bosch,AJ) 15 yards from AF05 to AF20. NO PLAY.",Pass Interference,5.0
Bucknell,Air Force,"Ralph Rucker IV pass complete to Sam Milligan for 29 yds to the AF 34 for a 1ST down Bucknell Penalty, Illegal Block (AJ Bosch) to the AF 44 for a 1ST down",Other / Unclassified,
Air Force,Bucknell,"(03:44) Gist,Terrence rush left for 6 yards gain to the AF49 (Goheen,Jack) PENALTY AF Illegal Formation 5 yards from AF43 to AF38. NO PLAY.",Illegal Formation,6.0
Bucknell,Air Force,"Air Force Penalty, Personal Foul (Vinnie Canosa) to the AF 14 for a 1ST down",Personal Foul,
Davidson,Georgetown,"Coulter Cleland pass incomplete to Andrew Frazier for a 1ST down Georgetown Penalty, Defensive pass interference (Braylon Wise) to the GTWN 14 for a 1ST down",Pass Interference,
Georgetown,Davidson,"Dez Thomas II pass incomplete to Legend Bernard Davidson Penalty, off-side (Brady Clark) to the DAV 37",Other / Unclassified,
Bucknell,Air Force,"PENALTY BU False Start (Johal,Herschel) 5 yards from AF23 to AF28. NO PLAY.",False Start,5.0
Northern Illinois,Holy Cross,"PENALTY NIU False Start (Hron,Landon) 5 yards from NIU39 to NIU34. NO PLAY.",False Start,5.0
Holy Cross,Northern Illinois,"(10:35) No Huddle-Shotgun Swanson,Cal pass incomplete deep left to Mullaly,Charly thrown to NIU25 PENALTY NIU Pass Interference (Finley,Jacob) 15 yards from HC42 to NIU43, 1ST DOWN. NO PLAY.",Pass Interference,15.0
Utah,UCLA,"Utah Penalty, false start (Dallen Bentley) to the UTAH 46",False Start,
Holy Cross,Northern Illinois,"Owen Saraceno kickoff for 55 yds , Dev'ion Reynolds return for 12 yds to the NIU 47 Northern Illinois Penalty, Illegal Block (8 Yards) to the NIU 8",Other / Unclassified,8.0
Northern Illinois,Holy Cross,"(01:47) No Huddle-Shotgun Holst,Josh pass incomplete deep left to Givens III,Gary thrown to HC15 PENALTY HC Illegal Substitution 5 yards from NIU48 to HC47. NO PLAY.",Other / Unclassified,5.0
Holy Cross,Northern Illinois,"Holy Cross Penalty, (Yards) declined",Other / Unclassified,
Northern Illinois,Holy Cross,PENALTY NIU Delay Of Game 5 yards from NIU49 to NIU44. NO PLAY.,Delay of Game,5.0
