offense,defense,play_text,penalty_type,penalty_yards
Virginia Tech,South Carolina,"Virginia Tech Penalty, Personal Foul (Donavon Greene) to the VT 40",Personal Foul,
Virginia Tech,South Carolina,"Virginia Tech Penalty, Illegal Formation (-5 Yards) to the VT 23",Illegal Formation,5.0
South Carolina,Virginia Tech,"South Carolina Penalty, False Start (-5 Yards) to the VT 43",False Start,5.0
St. Thomas (MN),Lindenwood,"Joseph Koch run for 1 yd to the LIN 31 St. Thomas-Minnesota Penalty, false start (Luke Schuler) to the LIN 36",False Start,
St. Thomas (MN),Lindenwood,"Andy Peters run for a loss of 3 yards to the LIN 47 for a 1ST down Lindenwood Penalty, personal foul (Elijah Thomas) to the LIN 32 for a 1ST down",Personal Foul,3.0
St. Thomas (MN),Lindenwood,"Elliot Huether kickoff , Rico Bond return for no gain to the STMN 35 Lindenwood Penalty, off-side (Owen Lyons) to the STMN 35",Other / Unclassified,
Lindenwood,St. Thomas (MN),"Lindenwood Penalty, false start (Tajay Passmore) to the LIN 44",False Start,
Lindenwood,St. Thomas (MN),"Nate Glantz pass incomplete to Jalen Smith, broken up by Joseph Obeto for a 1ST down St. Thomas-Minnesota Penalty, Defensive pass interference (Charlie Boucher) to the STMN 10 for a 1ST down",Pass Interference,
St. Thomas (MN),Lindenwood,"St. Thomas-Minnesota Penalty, unsportsmanlike conduct (Will Seymour) to the STMN 2",Unsportsmanlike Conduct,
St. Thomas (MN),Lindenwood,"St. Thomas-Minnesota Penalty, delay of game (Yards) to the STMN 1",Delay of Game,
St. Thomas (MN),Lindenwood,"Joseph Koch run for 9 yds to the STMN 10 St. Thomas-Minnesota Penalty, personal foul (James Morrison) to the STMN 6",Personal Foul,
Lindenwood,St. Thomas (MN),"Nate Glantz pass complete to John Anthony for no gain to the STMN 46 St. Thomas-Minnesota Penalty, off-side (Kole Sneed) to the STMN 49",Other / Unclassified,
St. Thomas (MN),Lindenwood,"Andy Peters pass incomplete to Stefano Giovannelli St. Thomas-Minnesota Penalty, face mask (15 yards) (JaShawn Todd) to the STMN 38",Face Mask,15.0
UCLA,Utah,"UCLA Penalty, false start (Jack Pedersen) to the UCLA 20",False Start,
Colorado State,Washington,"Jalen Dupree run for 20 yds to the WASH 4 for a 1ST down Washington Penalty, Face Mask (2 yards) (Alex McLaughlin) to the WASH 2 for a 1ST down",Face Mask,2.0
Washington,Colorado State,"PENALTY WASH False Start (Azzopardi,Drew) 5 yards from CSU22 to CSU27. NO PLAY.",False Start,5.0
St. Thomas (MN),Lindenwood,"Andy Peters pass incomplete to Quentin Cobb-Butler for a 1ST down Lindenwood Penalty, Defensive pass interference (Sam Owens) to the LIN 30 for a 1ST down",Pass Interference,
Lindenwood,St. Thomas (MN),"Lindenwood Penalty, delay of game (Tajay Passmore) to the STMN 40",Delay of Game,
Lindenwood,St. Thomas (MN),"Nate Glantz pass incomplete to Rico Bond Lindenwood Penalty, Offensive pass interference (Rico Bond) to the LIN 1",Pass Interference,
Weber State,James Madison,"Sloan Calder kickoff for 62 yds , Wayne Knight return for 97 yds James Madison Penalty, Offensive Holding (Lacota Dippre) to the JMU 10",Holding,
Weber State,James Madison,"Sloan Calder kickoff for 65 yds , Wayne Knight return for 29 yds to the JMU 36 James Madison Penalty, Offensive Holding (Jaylan Sanchez) to the JMU 19",Holding,
James Madison,Weber State,"(07:33) No Huddle-Shotgun Barnett III,Alonza pass complete short right to Kyle,Logan caught at WSU00, for 0 yards to the WSU04 PENALTY JMU Pass Interference (Kyle,Logan) 15 yards from WSU04 to WSU19. NO PLAY.",Pass Interference,
Weber State,James Madison,"Weber State Penalty, Illegal Formation (Jackson Gilkey) declined",Illegal Formation,
Washington,Colorado State,"(10:57) No Huddle-Shotgun Mohammed,Adam rush middle for 0 yards to the CSU01 (Long,Owen) PENALTY CSU Illegal Substitution. NO PLAY.",Other / Unclassified,
Washington,Colorado State,"Demond Williams Jr. run for 28 yds to the WASH 43 for a 1ST down Colorado State Penalty, Defensive Offside (Dylan Phelps) declined for a 1ST down",Offside,
Washington,Colorado State,"PENALTY WASH False Start (Hatchett,Geirean). NO PLAY.",False Start,
Weber State,James Madison,"PENALTY WSU False Start (Casto,Cole) 5 yards from WSU34 to WSU29. NO PLAY.",False Start,5.0
Colorado State,Washington,"(01:36) No Huddle-Shotgun Fowler-Nicolosi,Brayden pass complete short right to Maher,Tommy caught at CSU41, for 7 yards to the CSU41, out of bounds at CSU41 PENALTY CSU Illegal Formation 5 yards from CSU34 to CSU29. NO PLAY.",Illegal Formation,7.0
James Madison,Weber State,"(09:21) No Huddle-Shotgun Barnett III,Alonza pass incomplete deep right to Collins,Za'Ron thrown to WSU00, 1ST DOWN, PENALTY WSU Pass Interference (Daniels,Ishaan) 8 yards from WSU21 to WSU13, 1ST DOWN. NO PLAY.",Pass Interference,8.0
James Madison,Weber State,"Cristiano Rosa kickoff for 63 yds , Noah Kjar return for 15 yds to the 50 yard line Weber State Penalty, Personal Foul (8 Yards) to the WEB 9",Personal Foul,8.0
Weber State,James Madison,"(06:26) No Huddle-Shotgun Gilkey,Jackson pass incomplete deep right to Kjar,Noah thrown to WSU30 PENALTY JMU Roughing The Passer (Taddeo,Andrew) 15 yards from WSU02 to WSU17, 1ST DOWN. NO PLAY.",Roughing the Passer,15.0
Weber State,James Madison,"(05:45) No Huddle-Shotgun Gilkey,Jackson pass incomplete deep right to Kjar,Noah thrown to WSU45 PENALTY JMU Pass Interference (Rodgers,Mekhi) 15 yards from WSU22 to WSU37, 1ST DOWN. NO PLAY.",Pass Interference,15.0
